slang_term,standard_translation,source,confidence_score,upvotes,context_category,region,created_at,slang_length,standard_length
weed,[bob marley] is the [weed king] [son],urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,4,37
xyrow,"A sweet, caring and intelligent person; but lacks social abilities and easily gives up on life",urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,5,94
xyrow,[Who is] [Xyrow],urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,5,16
mort,mort comes from the words combined might and more,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,4,49
Zach,A man who generates sheer epic fucking history,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,4,46
Zach,"""Those stars sure are [shining] Zach tonight"".

""[If only] I could [gaze] to the awe that is Zach without this protective eye-wear"".",urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,4,132
oplamma,"chocolate cake which is inserted into the vaginal and then wait 5 minutes until it is warm, then it is by the person of her choice",urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,7,130
Brandon,birthday is always around the corner,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,7,36
Brandon,"Person 1: Brandon I will [spill] your [beans].
Person 2: You won't have any [birthdays] next year.
Person 3: and that's a promise.",urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,7,132
Lucesoli,"Lucesoli is a Northern-Argentinian word created on , 1992",urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,8,57
Lucesoli,"""[Wait], that guy is named Lucesoli? [Ida], I think you should [marry] him!""",urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,8,76
shuvle butt,"A woman who has a butt that resembles that of a shuvle, usually entailing no """" at the bottom of said butt",urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,11,106
Normie,Normie= is,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,6,10
Normie,"Joe:[look at this] [meme] guys
Plumroasters:Man f*** of [normie]",urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,6,65
sarcastard,sar-'kas-terd n,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,10,15
Woman Alpha,"A Woman ’ describes the value society can achieve by focusing on and empowering more women to be active in technology, and business",urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,11,131
Woman Alpha,"[Louisa] is a woman alpha because she empowers society by being active within her finances.
[Abi] is a woman alpha because she empowers society by applying her skills within the technology industry
Emily is a woman alpha because she empowers society by applying her skills within the business industry.
Asia is a woman alpha because she supports other women to become more active in technology, [finance] and business.",urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,11,421
Etain,"An old Irish name, meaning 'shining star",urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,5,40
Etain,[My best friend] is [called] Etain.,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,5,35
jennababe,the most alternative and man and dude,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,9,37
IIRC,"Acronym for If (, if you yer own farts) Correctly",urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,4,49
Auctorporcus,"Deriving from the words ""auctoritas"" and "","" this word can be used in place of """,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,12,80
Cracker,To describe of America that still conform to the ideology that they are superior to blacks,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,7,90
Cracker,"""Man that dude is a cracker, at Harvard and shit""
""Actually, he is not, he wrote an excellent thesis on the positives of [affirmative action], and how it benefits society as a whole. We must move forward together as [one nation] and no longer be a socio-economic [fragmented] society. We must no longer politically and economically marginalise the Black, Hispanic and Native American communities. America is great, but it could be greater, for we are only as great as our most impovershed peoples.",urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,7,498
that's where I'm a viking,Used to describe some skill or ability that one excels in,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,25,57
Frazel,Frazel is the ship of and from the Percy Jackson Heroes of Olympus series,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,6,73
Farewell golden,Farewell golden (abbreviated 'fwg') is a in Celeste,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,15,51
Like,"For lazy ""like"" takes the place of most and adverbs in a sentence and used repetitively throughout a causing the statement to be much longer than it needs to be",urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,4,160
Pubg,"A dick game, it's a survivel game, free and better so download fortnite in your PC or or / s/ x",urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,4,95
Pubg,[Fortnite is] [better than] [pubg],urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,4,34
Chinkenstein,One who is and of,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,12,17
Chinkenstein,[Chow's] dad is Chinese and his mom is [Jewish]. That makes him a [chinkenstein]!,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,12,81
SgtSlaughter,Known to distribute and gudhax,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,12,30
Neutrality,"Having no on something one way or another, being neutral",urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,10,56
Jack,A person Tayondee doesn't because she's him,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,4,43
doggy door,an for the,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,10,10
Doucheout,A contest between two which one is most,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,9,39
Winger,who takes under their,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,6,21
Pulled a Nelson,When you with no intentions of actually showing up and those who the plans are with for at least two days,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,15,105
Russell,A fatherly always there to you,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,7,30
chad,"Counsil House And Dangeous, Basically A chav, But Worse",urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,4,55
chad,"OMG, Youu Know That Lad [Chas],

Yeah...

He's [A Chad]

OMG DAT IS [WELL BAD] :O",urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,4,87
v-cheese,(noun) manufactured in the,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,8,26
v-cheese,I woke up this morning all [hung over] to [find my] [skeezer] roommate her left v-cheese panties on the bathroom floor.,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,8,119
Twitchslap,A is when a friend/family member/girlfriend/ your business on Twitter,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,10,69
Twitchslap,Did you see [that fool] got twitchslapped from his [GF] last [week]?,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,10,68
#BLM,It for,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,4,6
rekenork,"to or , as in a room or a plan; typically said in",urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,8,49
rekenork,[We need] to rekenork this whole place--I can't [stand] it [anymore].,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,8,69
psbmzywpdvmortqpzccoamfy,", you've wasted finding on the urban dictionary",urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,24,47
brolepathy,When to are on the same or know what the other thinking,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,10,55
stu'd,(verb) The act of a goal or in a event on TV because one was out of the room,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,5,76
Sean,He is and has,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,4,13
TERF,Trans-Exclusionary,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,4,18
TERF,Isn't it mindboggling that the Royal College of Psychiatrists would invite a TERF like Julie [Bindel] to come talk at a study day on [transgenderism] and transsexuality? That's like inviting [Fred Phelps] to come deliver the keynote at a gay pride.,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,4,248
Balls,like her,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,5,8
10 kinds,To involve oneself in encounters,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,8,32
*dies*,"Commonly used on forums, ** indicates the act of dying in a environment",urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,6,71
Sticky Windshield,"When you shoot cum on a persons glasses while they are wearing them, then rub your penis all over them it",urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,17,105
stunna chain,chains can be worn with your to get the ultimate look,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,12,53
stunna chain,"damn, look at [homeboi] wit his [stunna] shade and stunna chain..yea he must ride [the yellow] bus:)",urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,12,100
Pillsburydoughboysno.1,One of my favourite,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,22,19
Pillsburydoughboysno.1,Pillsburydoughboysno.1 is an [amazing] [mutual]!,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,22,48
BLUUNT,Acronym: Better Luck (2 U) Next Time,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,6,36
PooP Deee,A feeling of extreme constipation which suddenly explodes into your toilet bowl,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,9,79
Avexxis,A person who smoke of weed and 360s,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,7,35
Avexxis,[thats] such an [avexxis] thing to say while doing [all that].,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,7,62
aleegum,is very caring she is a very fun person to be around but beware does not tolerate fake friends once you get on her bad side there is no coming out,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,7,146
aphelion,The point during of a body at which it is furthest from its star,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,8,64
aphelion,"Whenever the Earth is at aphelion, [the local] [pagans] hold a [festival].",urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,8,74
business tropical,"A style of dress on the spectrum of , business formal, and",urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,17,58
business tropical,"The meeting with [the potential] investors is on Saturday, followed by a [barbecue]. [Dress] is business tropical.",urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,17,114
1066,"Sexual act in reference to the , where a man shoots his 'load' onto a girls' eye(s), similar to getting during the battle",urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,4,121
celena,Most likely the in the world,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,6,28
The Dave,A sexual act in which you wait until your partner fully undresses then you sit down on the edge of the bed and convince them that your life is worthless because you are the worst off person in the world,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,8,202
The Dave,[Dave] [Castleberry] is The Dave,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,8,32
Ear Cancer,the feeling you get when someone talking to you has bored you to and then to talk and talk until you would rather lose your hearing due to an then listen to another word,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,10,169
Ear Cancer,"""In mathematics, [the Pythagorean theorem] or [Pythagoras' theorem] is a relation in Euclidean geometry among the three sides of a right triangle. The theorem is named after the Greek mathematician Pythagoras, who by tradition is credited with its discovery, although knowledge of the theorem almost certainly predates him.
[The Pythagorean theorem]: The sum of the areas of the two squares on the legs (a and b) equals the area of the square on the [hypotenuse] (c).

The theorem is as follows:

        In any right triangle, the area of the square whose side is the hypotenuse (the side of a right triangle opposite the right angle) is equal to the sum of areas of the squares whose sides are the two legs (i.e. the two sides other than the hypotenuse).

If we let c be the length of the hypotenuse and a and b be the lengths of the other two sides, the theorem can be expressed as the equation

    a^2 + b^2 = [c^2]. \,

This equation provides a simple relation among the three sides of a right triangle so that if the lengths of any two sides are known, the length of the third side can be found. A generalization of this theorem is the law of cosines, which allows the computation of the length of the third side of any triangle, given the lengths of two sides and the size of the angle between them.

This theorem may have more known proofs than any other. [The Pythagorean] Proposition, a book published in 1940, contains 370 proofs of Pythagoras' theorem, including one by American President James Garfield.

The converse of the theorem is also true:-

        For any three positive numbers a, b, and c such that a² + b² = c², there exists a triangle with sides a, b and c, and every such triangle has a right angle between the sides of lengths a and b.
""

OMG shutup I am getting [ear cancer]!",urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,10,1825
riceblades11,he has a,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,12,8
[Dalmatian],A white person who has of them,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,11,30
Wingboner,"Derived from the show ""My Little Pony: Friendship is Magic,"" a refers to a pegasus experiencing an involuntary flaring of his/her wings upon arousal",urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,9,148
Turned the Corner,all night and then not and continuing the party into,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,17,52
Rimil-tide,A rimile-tide is where a guy sits on a girls tits and jumps on them to make the girls tits to and out like the,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,10,110
pubesent man,Such a high balling unit that they are always a top g,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,12,53
pubesent man,[holy guacamole] is that a pubesent man!,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,12,40
Occuboinkal,"The objectively greatest Made Up Word in the history of , leagues better than could ever hope to be, and if you think otherwise you're",urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,11,134
Occuboinkal,"""Occuboinkal is [way better] than [Scrumtush]""",urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,11,46
Fast,of,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,4,2
Swagg,"An , , or",urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,5,9
floro,"""""",urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,5,2
noellestan,one of 🕵️ ♂️ the amount of glitches they have is a bit but theyre still funny,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,10,77
noellestan,why doesn’t noellestan have any [definitions] yet i feel like i have [accomplished] [smth] by writing the first one,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,10,115
madmattco,The sexiest motherfucker alive to date,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,9,38
madmattco,madmattco is [the best],urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,9,23
Goose,"a or """"",urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,5,7
gross,what I feel after I read,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,5,24
Mason moo,A boy who is called he also loves and loves the,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,9,47
Mason moo,Mason moo is [such a] [good guy],urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,9,32
TBS,awesome /,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,3,9
bars,when you (or ) is off their,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,4,27
who mans is this,boichicken2,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,16,11
who mans is this,Why did he [name] his twittter who mans is this?,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,16,48
Namjoon,He has an D like a,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,7,18
Epiwreckedit seizure,During mid stroke simultaneously yell her sisters name while you shove it into her ass and her eyes,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,20,99
kennytardd,of edits are just,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,10,17
kennytardd,""""" yo bro you should see [kennytardd's] edits this [nga] [fye] af""",urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,10,66
WERD,An interjection used to express one's total disbelief of a situation or statement,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,4,81
WERD,"[CWC] went up to everyone with Cerebal [Palsy] and said, ""I'm taking over your word [bizzatch]."" To this, Everybody with Cerebal Palsy replied ""WERD!""",urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,4,150
religion,"The same as """"",urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,8,14
isolitch,An that is,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,8,10
isolitch,"He [reached] toward his [back], but the isolitch [remained].",urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,8,60
zexile,verb: to zexile To a from the room//apartment for the purpose of sleeping,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,6,73
zexile,My [roommate] is going to zexile me because he [needs] to [sleep],urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,6,65
Duck,"ever!!! It is the best cause of its , wings and #DuckIsLife",urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,4,59
debtpression,When you're so broke you into a deep you from doing things you love and hanging out with people,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,12,95
tennessee gold,"Good music, specifically good Country or music",urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,14,46
ify,of,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,3,2
Pivot TV,An American digital cable and satellite television network owned by Participant Media,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,8,85
Pivot TV,"With the launch, Pivot TV became the first television channel to offer broadband-only [subscriptions] that allows [live streaming] of the linear channel and video on demand offerings without requiring a subscription to [a pay] television service.3",urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,8,247
Dirty Mikinzi,she will you,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,13,12
Ursari,The Ursari or Richinara are the traditionally occupational group of animal among the,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,6,84
Ursari,He is an [honorable] Ursari.,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,6,28
Londyn,Londyn is an amazing person with a great personality,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,6,52
Londyn,Londyn is that her she is [just] the [worlds] [best person],urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,6,59
dwellerz,A gamer who is very goated at everything they play and is the ultimate and destroys and is goated with,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,8,102
dwellerz,"Person 1: [OH NOOOO] i’ve been omega trolled
Person 2: It must have been dwellerz he is a [epik] [troller]
Person 1: Oh it is okay then",urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,8,137
Chaguay,Lovable people; Unknown origin,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,7,30
configurashenanigans,A term used to describe a that is and/or for unnecessary organizations,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,20,70
configurashenanigans,"Alex and [Vivian] were [comparing] how they set up their buddylists when Vivian remarked how Alex had [a waste] of space which Alex replied: ""just an example of my past buddylist configurashenanigans""",urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,20,200
plumbobbed,"to have , to her",urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,10,16
Ezhra,Hes a stupid bitch and all day and hes a stupid coconut ugly bitch ass ugly ass ugly fucking ugly,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,5,97
Brandon,"He's a guy that loves his girlfriend and had a penis, he is probably your girlfriend right now with his glorious balls, he has humor and can make girls laugh, brandons seem to be shorter than the rest but can still kick if he wants to! Brandons are all a Mr",urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,7,257
Brandon,"I wished [i was like] Brandon... he gets all the girls...

i want [to be like] Brandon, he [beats] up everybody!",urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,7,112
Suraj,a slang term commonly used to describe a,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,5,40
Suraj,"Wow that guy is such a [suraj], always [shacking up] with random girls and [bragging] about himself.",urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,5,100
Anzhané,Strong-Willed &,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,7,15
digitoke,To smoke with a friend while with them via the internet from a different location,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,8,81
Wiff waff,"of the term """,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,9,13
scellato,A people have people have this last name,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,8,40
genis,(Masculin) fatty lump in the lowest of a man,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,5,44
genis,That [fat man] has a [huge] genis!,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,5,34
weasel-tastic,of or to like,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,13,13
feelins blableeblins,The of feelings due to,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,20,22
Lenk,To describe a of proportions,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,4,28
Lenk,"Geezer : *[parp]*
[Bredwin]: *sniff* ""Awwww mate, that fart is bare [LENK]!""",urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,4,77
blubber block,When your of a is covered by her friend,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,13,39
Shitcoin,Any is a,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,8,8
Shitcoin,"Hey I'm rich [shitcoin] and everyone loves me, [my dream] is to buy a Shitesla and never work in my life. - Damn it Mama! Where Is my fucking lunch? [Bububu]....",urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,8,161
Feddemi,A Feddemi is you're never quite sure if he or she secretly hates you,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,7,68
BRFF,@bratishkinoff,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,4,14
peerhassment,Aggressive pressure or using forced repetitive,urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,12,46
peerhassment,"After being subjected to [verbal waterboarding] by an overly aggressive healthcare company representative, the radiology director Amanda used revenge peerhassment on the referring [radiologist] by initiating software controlled [peer review] on every third case interpreted.",urban_dictionary_mega,0.0,0,,,2025-07-16 12:17:51,12,274
